ISLAND,TRANSECTID,OCC_SITEID,REA_SITE,SITE_DEPTH_M,LATITUDE,LONGITUDE,REGION,STATUS,INSTRUMENTS
HOW,HOW-E,OCC-HOW-004,HOW-12,5.2,0.80916,-176.61097,PRIA,Active,STR
HOW,,OCC-HOW-005,HOW-11,13.7,0.7989,-176.6205,PRIA,Active,CAU
HOW,HOW-W,OCC-HOW-006,HOW-642,25,0.80651,-176.62155,PRIA,Active,STR
HOW,HOW-W,OCC-HOW-007,HOW-642,14.3,0.80654,-176.62148,PRIA,Active,STR
HOW,HOW-W,OCC-HOW-008,HOW-214,5.2,0.80662,-176.62141,PRIA,Active,STR
HOW,,OCC-HOW-009,HOW-14,14.6,0.81492,-176.62399,PRIA,Active,"STR, CAU"
HOW,HOW-W,OCC-HOW-010,HOW-642,38.4,0.80649,-176.62148,PRIA,Inactive,STR
HOW,HOW-W,OCC-HOW-011,HOW-642,19.8,0.80646,-176.62153,PRIA,Inactive,STR
HOW,,OCC-HOW-012,HOW-1032,18.9,0.82351,-176.62216,PRIA,Inactive,STR
HOW,,OCC-HOW-013,HOW-1033,4.9,0.8109,-176.61152,PRIA,Inactive,STR
HOW,,OCC-HOW-014,HOW-150,0.3,0.79485,-176.61122,PRIA,Inactive,SST-STR
HOW,,OCC-HOW-015,HOW-1034,0.3,0.82327,-176.6243,PRIA,Inactive,SST-STR
HOW,,OCC-HOW-016,HOW-05,13.7,0.8042,-176.6215,PRIA,Inactive,CAU
JAR,JAR-N,OCC-JAR-001,JAR-08,14.6,-0.36307,-159.99115,PRIA,Active,CAU
JAR,JAR-NE,OCC-JAR-002,JAR-642,24.1,-0.36759,-159.97883,PRIA,Active,STR
JAR,JAR-NE,OCC-JAR-003,JAR-01,15.5,-0.36776,-159.97879,PRIA,Active,"Soundtrap, STR, ANCHOR, EAR, ADP, PH, CTD, CAU"
JAR,JAR-E,OCC-JAR-004,JAR-422,24.1,-0.3751,-159.97229,PRIA,Active,STR
JAR,JAR-E,OCC-JAR-005,JAR-422,12.8,-0.37509,-159.97245,PRIA,Active,STR
JAR,JAR-E,OCC-JAR-006,JAR-2047,4.9,-0.37394,-159.98337,PRIA,Active,STR
JAR,JAR-S,OCC-JAR-007,JAR-625,24.1,-0.38241,-160.00293,PRIA,Active,STR
JAR,JAR-S,OCC-JAR-008,JAR-04,14.6,-0.38234,-160.00298,PRIA,Active,"STR, CAU"
JAR,JAR-S,OCC-JAR-009,JAR-2048,5.2,-0.38153,-160.00288,PRIA,Active,STR
JAR,,OCC-JAR-010,JAR-500,14.3,-0.3792,-160.01552,PRIA,Active,"STR, EAR, SBE37, ADP, ANCHOR, PINGER"
JAR,,OCC-JAR-011,JAR-07,14.6,-0.3764,-160.0144,PRIA,Active,CAU
JAR,JAR-W,OCC-JAR-012,JAR-11,23.8,-0.36897,-160.00825,PRIA,Active,"STR, ADP, ANCHOR, BATTERY, SBE37"
JAR,JAR-W,OCC-JAR-013,JAR-11,14.9,-0.36896,-160.00812,PRIA,Active,"PH, ADP, CTD, Soundtrap, STR, EAR, ANCHOR, RAS, CAU"
JAR,JAR-W,OCC-JAR-014,JAR-11,5.8,-0.36906,-160.00796,PRIA,Active,STR
JAR,JAR-W,OCC-JAR-015,JAR-11,18.6,-0.36893,-160.00814,PRIA,Inactive,"ANCHOR, BATTERY, SBE37, ADP"
JAR,JAR-N,OCC-JAR-016,JAR-08,9.8,-0.36324,-159.99114,PRIA,Inactive,STR
